Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
45-54,Media & Digital,News editor,,"66,000.00",,,California,San Jose,21-30 years,11-20 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
25-34,Education (Higher Education),Director,Staff role,"105,000.00",0.00,,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Social Media Manager,,"55,000.00",0.00,,Washington,Tacoma,11-20 years,5-7 years,Some college,Man,White
35-44,Children's Book Wholesale,Collection Development Specialist,"I select the books we carry, build collections of them, curate all associated metadata, and maintain relationships with our vendors (ie publishers)","55,000.00","3,000.00",,Missouri,Saint Louis,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,"Manager, Program Management",,"210,000.00",,,Washington,Seattle,8-10 years,5-7 years,Master's degree,Man,Asian or Asian American
25-34,Business or Consulting,Data Science Manager,,"142,000.00","5,000.00",,New York,New York,8-10 years,8-10 years,Master's degree,Man,White
18-24,Nonprofits,Land manager,,"42,000.00",,,Maryland,Owings Mills,2-4 years,2-4 years,College degree,Man,White
35-44,Media & Digital,writer/editor,,"43,500.00",,,New York,Brooklyn,8-10 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Program coordinator,,"85,000.00",,,California,Palo Alto,5-7 years,5-7 years,College degree,Man,Asian or Asian American
45-54,"Accounting, Banking & Finance",Senior Administrative Assistant,,"73,000.00","2,000.00",,Illinois,Chicago,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Education (Higher Education),University library technician,Higher education library tech with a specialization in data science and supervisory duties.,"48,205.00",0.00,,North Carolina,Chapel Hill,2-4 years,2-4 years,Master's degree,Non-binary,White
35-44,Law,Associate,Attorney,"140,000.00","3,500.00",,Virginia,Richmond,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Sales,Senior Account Manager,,"62,500.00","62,500.00",,Florida,Pensacola,21-30 years,11-20 years,College degree,Woman,White
35-44,Law,Paralegal,Immigration,"63,000.00","1,000.00",,Maryland,Montgomery County,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Director of Software Engineering,,"231,000.00",,,Washington,Seattle,11-20 years,5-7 years,College degree,Man,White
55-64,Entertainment,Executive Assistant,,"92,000.00","10,000.00",,California,Los Angeles,11-20 years,11-20 years,Some college,Woman,White
18-24,Nonprofits,Crisis Resource and Outreach Navigator,Combination of front office work (administrative and direct services) and outreach/education for a domestic violence shelter,"42,972.00",400.00,,Minnesota,Saint Paul,2-4 years,2-4 years,College degree,Woman,White
25-34,Public Health,Epidemiologist,,"64,000.00",,,Texas,Dallas,5-7 years,2-4 years,Master's degree,Woman,White
18-24,Engineering or Manufacturing,Engineering Intern,,"42,000.00",,,Wisconsin,Milwaukee,5-7 years,2-4 years,College degree,Woman,White
35-44,Insurance,Contract analyst,,"65,000.00","3,000.00",,Connecticut,Hartford,11-20 years,11-20 years,College degree,Woman,White
25-34,Law,Paralegal,Litigation paralegal,"43,680.00",250.00,,Maryland,Silver Spring,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Education (Higher Education),Director of Archives and Special Collections,,"90,119.00",0.00,,Nebraska,Omaha,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Media & Digital,Senior Staff Writer,,"95,000.00","5,000.00",,New York,Buffalo,11-20 years,8-10 years,College degree,Man,White
35-44,Computing or Tech,Staff Software Engineer,,"175,000.00","26,000.00",,Michigan,East Lansing,11-20 years,11-20 years,College degree,Man,White
45-54,Nonprofits,Animal Curator,,"50,000.00",0.00,,Texas,Fort Worth,21-30 years,21-30 years,College degree,Woman,White
45-54,Computing or Tech,Informatics Epidemiologist,,"99,500.00",,,North Carolina,Charlotte,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer,,"75,000.00",,,Virginia,Reston,5-7 years,2-4 years,College degree,Non-binary,White
25-34,Health care,Project Manager,"Diversity, Equity, Inclusion, Belonging","79,000.00",,,Massachusetts,Boston,8-10 years,5-7 years,College degree,Woman,White
25-34,Biotech/Drug Development,Nonclinical Manager,,"90,000.00","7,000.00",,Massachusetts,Cambridge,8-10 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Lead Engineer,,"80,000.00",,,New York,New York,2-4 years,2-4 years,Some college,Woman,White
25-34,Property or Construction,Project Manager/superintendent,,"75,000.00",,,Florida,Tampa,5-7 years,5-7 years,College degree,Man,White
25-34,Utilities & Telecommunications,Consultant,,"73,000.00","2,000.00",,Arizona,Phoenix,2-4 years,1 year or less,College degree,Man,Asian or Asian American
55-64,Computing or Tech,Principal Software Engineer,,"126,000.00",,,Oregon,Portland,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Recruitment or HR,Recruiter,,"62,700.00","4,000.00",,New Jersey,Edison,11-20 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin"
35-44,Retail,Shift lead,,"30,000.00","6,000.00",This is a worker owned grocery coop,North Carolina,Raleigh,21-30 years,2-4 years,Some college,Woman,"Asian or Asian American, White"
25-34,Entertainment,Manager of Digital Media Programming,TV programming not computer programming,"83,500.00","6,000.00",,Connecticut,Bristol,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Senior Product Manager,,"185,000.00","30,000.00",,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White
25-34,Health care,Analytics Manager,,"135,000.00",0.00,,Washington,Seattle,8-10 years,5-7 years,Master's degree,Woman,White
55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,,"65,000.00","5,000.00",,Washington,Seattle,31-40 years,11-20 years,Master's degree,Woman,White
25-34,Government and Public Administration,Makerspace Technician,Library system managed Makerspace,"31,000.00",,,California,La Quinta,8-10 years,2-4 years,College degree,Non-binary,White
18-24,Computing or Tech,Machine Learning Engineer,,"132,000.00","10,000.00",,Massachusetts,Cambridge,2-4 years,2-4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,"Accounting, Banking & Finance",Compliance Analyst,,"78,000.00",,,California,San Francisco,11-20 years,5-7 years,Master's degree,Woman,White
45-54,Utilities & Telecommunications,Land Analyst,"Input information from oil & gas leases/deeds into database, review mineral ownership information...basically skilled data analysis and entry","60,320.00",0.00,"Overtime is entirely dependent on circumstances - one year I could do lots, another year I could do none.",Pennsylvania,Pittsburgh,21-30 years,8-10 years,Some college,Woman,White
