Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Education (Higher Education),Technical Project Manager,,"113,000.00",,,California,Oakland,11-20 years,8-10 years,Master's degree,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin"
35-44,Education (Primary/Secondary),Teacher,,"128,000.00",0.00,,New York,Uniondale,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Teacher -High School,Math!,"58,000.00",,"I can work more hours/do extra committees and stuff to get more money, but that’s not a mandatory part of my job.",Massachusetts,Somerville,8-10 years,8-10 years,College degree,Non-binary,White
25-34,Transport or Logistics,Junior Transport planner,,"66,500.00","1,500.00",,Washington,Seattle,2-4 years,2-4 years,Master's degree,Man,Asian or Asian American
35-44,Computing or Tech,Staff Software Engineer,Game development industry,"225,000.00","50,000.00",,California,Palo Alto,11-20 years,11-20 years,College degree,Man,"Black or African American, White"
25-34,Computing or Tech,Sales Support Specialist,"contract administrator, sales admin","53,000.00","4,000.00",,California,Santa Barbara,2-4 years,2-4 years,College degree,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin, White"
35-44,"Accounting, Banking & Finance",Lending Officer,"Deals with policy, making sure lending requirements are being followed and helps with change implementation (works specifically with mortgage lending)","96,000.00","19,200.00",,Minnesota,Minneapolis,11-20 years,11-20 years,College degree,Woman,White
35-44,Nonprofits,Manager,,"58,650.00","6,000.00",,Virginia,Chantilly,11-20 years,11-20 years,Some college,Woman,White
25-34,Computing or Tech,Software Engineer,,"350,000.00","20,000.00",,California,San Francisco,2-4 years,2-4 years,College degree,Woman,White
25-34,Government and Public Administration,Senior Budget and Management Analyst,,"66,800.00",0.00,,Virginia,Richmond,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Education (Higher Education),Director of International Student and Scholar Services,,"70,000.00",0.00,,Minnesota,Minneapolis,8-10 years,8-10 years,Master's degree,Woman,White
45-54,Education (Higher Education),Senior Associate Director,I'm a middle manager in Development/Advancement,"110,000.00",0.00,,Massachusetts,Boston,21-30 years,21-30 years,Master's degree,Woman,White
45-54,Insurance,Contract Specialist,,"80,000.00","1,500.00",,Minnesota,Bloomington,21-30 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Graduate Studies Coordinator,,"38,000.00",0.00,,Indiana,South Bend,8-10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Government and Public Administration,Project Manager,,"80,000.00",0.00,,Virginia,DC Metro Area,11-20 years,5-7 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Associate Product Manager,,"63,000.00","4,725.00",,Ohio,Cleveland,2-4 years,2-4 years,College degree,Woman,White
25-34,Recruitment or HR,Human Resource Generalist,,"50,000.00",,,Ohio,Columbus,8-10 years,5-7 years,High School,Woman,White
35-44,Education (Higher Education),Assistant Professor,Tenure-track faculty member,"92,000.00","9,000.00","The $9,000 is summer salary, not part of my base salary",Massachusetts,Boston,11-20 years,5-7 years,PhD,Woman,White
25-34,Computing or Tech,Content Development Manager,,"71,400.00","13,218.00","The additional money is the total of my quarterly bonuses, which I always get.",Ohio,Cincinnati,8-10 years,2-4 years,College degree,Woman,Black or African American
18-24,Health care,Environmental Services Operations Manager,,"51,000.00","1,000.00",,Ohio,Columbus,2-4 years,2-4 years,Some college,Woman,White
45-54,Health care,Consumer directed care attendant,,"18,500.00",0.00,,Iowa,Mason,2-4 years,2-4 years,College degree,Woman,White
35-44,Media & Digital,Digital Media Production Engineer,,"50,000.00",,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Senior Quality Engineer,,"110,000.00","10,000.00",,California,Los Angeles,11-20 years,11-20 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Director Property Tax,,"150,000.00","60,000.00",,Minnesota,Minneapolis,11-20 years,5-7 years,College degree,Woman,White
35-44,Property or Construction,operations manager,,"155,000.00","70,000.00",,New York,New York,11-20 years,11-20 years,Master's degree,Man,White
25-34,Government and Public Administration,Library Assistant,I oversee circulation desk operations at the library.,"32,460.00",62.00,Additional compensation comes from working evening hours,Hawaii,Honolulu,5-7 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Accounting Manager,,"90,000.00",0.00,,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Service,Bartender,,"70,000.00",0.00,Tips based,District of Columbia,Washington,11-20 years,8-10 years,Some college,Woman,Black or African American
25-34,Government and Public Administration,Grants Administrator,Post-Award,"87,962.00",0.00,,Virginia,Arlington,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Government and Public Administration,Senior Administrative Analyst,,"58,363.00",,,New York,Albany,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Law,Administrator,,"120,000.00","5,000.00",,California,San Diego,11-20 years,5-7 years,Master's degree,Woman,Asian or Asian American
55-64,Law,Attorney,Partner,"220,000.00","280,000.00","The bonus amount depends entirely on firm profits, could be 0 but likely could be more than I put, $280000 was the lowest it’s been",New York,New York,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education (Higher Education),Visiting Assistant Prof,,"55,000.00",0.00,,Virginia,Virginia,11-20 years,8-10 years,PhD,Woman,White
25-34,Research/Social Science,Researcher,,"110,000.00",0.00,,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,White
65 or over,Law,Of Counsel,,"200,000.00",,,California,San Francisco,31-40 years,11-20 years,Master's degree,Woman,White
25-34,Health care,Administrative Assistant,"Reception, referral coordination, billing (separate roles at other healthcare facilities, but all-in-one here)","39,520.00",,,Oregon,Portland,5-7 years,2-4 years,College degree,Other or prefer not to answer,White
45-54,Health care,Business partner,,"70,000.00",,,New York,Saratoga,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,District Director,,"62,000.00",,,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,White
55-64,Education (Primary/Secondary),Math Teacher,,"97,000.00",0.00,,Massachusetts,Marlborough Ma,31-40 years,11-20 years,PhD,Woman,White
25-34,Transport or Logistics,Buyer,,"125,000.00","12,500.00",,District of Columbia,DC,5-7 years,5-7 years,College degree,Woman,White
25-34,Art & Design,Junior Interior Designer,1-3 years/entry level interior design position,"54,600.00","6,400.00",,Massachusetts,Boston,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Nonprofits,Associate Development Director,,"37,000.00",,,Colorado,Denver,11-20 years,8-10 years,,Woman,White
35-44,"Accounting, Banking & Finance",Senior Accounting Manager,,"137,421.00",0.00,,Virginia,Fairfax,21-30 years,11-20 years,Master's degree,Woman,White
18-24,Restaurant/Food Service,Barista,,"35,360.00",,"I am part time (currently in grad school), so in reality I do not make this much in a year",New York,New York,2-4 years,1 year or less,College degree,Woman,White
45-54,Computing or Tech,Industrial Hygienist,Occupational Health & Safety specialist,"142,000.00","36,500.00",,Arizona,Phoenix,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Nonprofits,Finance and Administration Manager,,"42,500.00",0.00,,Massachusetts,Athol,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Nonprofits,Senior Director,Human Resources and Finance,"90,000.00",0.00,,District of Columbia,Washington,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Recruitment or HR,Recruiter,,"220,000.00","15,000.00",,California,San Francisco,11-20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
35-44,Recruitment or HR,Director of Human Resources,,"120,000.00","15,000.00",,Texas,Dallas,11-20 years,8-10 years,PhD,Woman,White
25-34,"Accounting, Banking & Finance",Sr. Data Analyst,,"80,000.00",0.00,,Georgia,Atlanta,2-4 years,2-4 years,College degree,Woman,White
25-34,Retail,Customer Experience Manager,,"31,500.00",0.00,,California,Redding,8-10 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),Senior Project Manager,,"63,000.00",0.00,,Oregon,Portland,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Technical project manager,,"102,000.00","2,500.00",,Massachusetts,Boston,8-10 years,5-7 years,College degree,Woman,White
35-44,Media & Digital,Editor,,"119,000.00","6,000.00",,Colorado,Denver,8-10 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Business or Consulting,Associate,,"165,000.00",,,Ohio,Cleveland,1 year or less,1 year or less,PhD,Woman,White
25-34,Computing or Tech,Solutions Engineer,"Sales Engineer, Pre-sales Engineer","140,000.00",,,Georgia,Atlanta,8-10 years,2-4 years,College degree,Woman,White
25-34,Nonprofits,Research Associate,,"46,000.00",750.00,,Virginia,Arlington,5-7 years,5-7 years,College degree,Woman,White
25-34,Art & Design,Senior product designer,,"120,000.00",0.00,,California,La,8-10 years,8-10 years,College degree,Woman,White
25-34,Recruitment or HR,"Director, Implementation",Help support new clients who are going live with recruitment outsourcing,"96,000.00",,,Colorado,Denver,8-10 years,8-10 years,Master's degree,Man,White
45-54,Government and Public Administration,Water resources director,,"165,000.00",0.00,,California,Fresno,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Media & Digital,Managing Editor,,"47,000.00",0.00,,Colorado,Fort Collins,11-20 years,5-7 years,College degree,Woman,White
35-44,Retail,Merchandiser,,"85,000.00","30,000.00",,Illinois,Chicago,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,Employee Success Quality Assurance Specialist,,"50,000.00",500.00,,Arizona,Tempe,5-7 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Government and Public Administration,Director,,"100,000.00",0.00,,Texas,Austin,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Health care,Care Coordinator II,,"51,000.00",,,New Jersey,Middletown,5-7 years,2-4 years,College degree,Woman,White
25-34,Computing or Tech,Technical Writer,Technical Writer with no coding-related responsibilities.,"71,400.00",,,Colorado,Colorado Springs,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Government and Public Administration,Senior Transportation Planner,,"121,000.00",,,California,San Francisco,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Retail,Buyer,,"102,500.00","22,550.00",,New York,New York,8-10 years,8-10 years,College degree,Woman,Asian or Asian American
25-34,Computing or Tech,Software engineer,,"73,000.00",0.00,,Pennsylvania,Camp Hill,2-4 years,2-4 years,College degree,Man,White
55-64,Entertainment,"Editor, copywriter",,"96,000.00",,,California,Los Angeles,31-40 years,21-30 years,Some college,Woman,White
25-34,Computing or Tech,Senior Program Manager,,"155,000.00","50,000.00",,California,San Francisco,8-10 years,5-7 years,College degree,Man,White
25-34,Libraries,Librarian (Dept. Head),,"58,000.00",0.00,,Massachusetts,Metrowest Boston,8-10 years,5-7 years,Master's degree,Woman,White
35-44,"Marketing, Advertising & PR",Consumer Insights Manager,,"134,500.00","28,000.00",Base salary plus annual performance-based (individual and company) bonus,New York,New York,11-20 years,8-10 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
35-44,"Marketing, Advertising & PR",Lead SEO,"In-house, enterprise level","100,000.00",,,New York,New York,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Education (Higher Education),"Associate Director, Alumni Relations",I am one of 2 Associate Directors on my immediate team. I manage our “signature events” for alumni - namely Reunion and an annual holiday party.,"77,000.00",0.00,,New York,New York,5-7 years,5-7 years,College degree,Woman,White
35-44,Art & Design,Art Director,,"82,500.00",0.00,,Pennsylvania,Philadelphia,21-30 years,8-10 years,College degree,Woman,Black or African American
55-64,Scientific Research,Scientific Writer,"Senior writer/editor who revises journal manuscripts, writes documentation, develops training materials","125,000.00",,,Maryland,Baltimore,21-30 years,31-40 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Retail,Email Marketing Manager,,"75,000.00","2,000.00",,Florida,Jacksonville,11-20 years,8-10 years,College degree,Woman,White
25-34,Law,HR Coordinator & Recruiter,,"54,500.00","2,500.00",,Ohio,Cleveland,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Law,Attorney,,"76,000.00",,,New York,Rochester,11-20 years,11-20 years,,Woman,White
35-44,Nonprofits,Program Director,,"75,000.00","5,000.00",,Virginia,Newport News,11-20 years,8-10 years,Master's degree,Man,White
18-24,Social Work,housing case manager,,"52,000.00",0.00,,Indiana,South Bend,1 year or less,1 year or less,College degree,Woman,White
25-34,Business or Consulting,Associate Consultand,,"65,000.00","10,000.00",,Maine,Portland,5-7 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),Assistant Professor of Instruction,,"66,000.00",0.00,,Illinois,Evanston,11-20 years,11-20 years,PhD,Woman,White
25-34,Computing or Tech,Senior Director of Marketing,,"210,000.00","40,000.00",,Massachusetts,Boston,11-20 years,11-20 years,College degree,Woman,White
45-54,Manufacturing,Compensation Analyst,,"70,000.00",0.00,,California,Ripon,21-30 years,2-4 years,College degree,Woman,White
35-44,Health care,Website Editor,,"83,000.00",,,Illinois,Chicago,21-30 years,11-20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Technical Support Engineer,,"54,000.00",,,Virginia,Richmond,2-4 years,2-4 years,Some college,Woman,Black or African American
25-34,Education (Higher Education),Research Programmer,Software engineering without the job title,"70,000.00",0.00,"Technically 37.5 hours, but ends up being pretty similar",Rhode Island,Providence,5-7 years,2-4 years,Master's degree,Non-binary,White
25-34,Computing or Tech,Senior Marketing Manager,,"108,000.00",,,North Carolina,Raleigh,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Health care,HR/Staffing Associate,,"57,000.00","1,000.00",,Massachusetts,Cambridge,5-7 years,1 year or less,Master's degree,Non-binary,White
45-54,"Accounting, Banking & Finance",Business Support Consultant,,"65,300.00","2,000.00",,Minnesota,Minneapolis,21-30 years,21-30 years,College degree,Woman,White
25-34,Nonprofits,System administrator,,"42,000.00",,,Maryland,Westminster,8-10 years,2-4 years,College degree,Man,White
35-44,Computing or Tech,Data Analyst,,"70,000.00",0.00,"I've been in this job <1 year. I'm told there may be bonuses, but I haven't seen how that plays out yet.",New York,Brooklyn,11-20 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,"Marketing, Advertising & PR",CRM Manager,,"89,612.00",,,Virginia,Arlington,5-7 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Senior Software Engineer,,"150,000.00","15,000.00",,Oregon,Portland,11-20 years,11-20 years,College degree,Man,White
25-34,Transport or Logistics,Senior Bulk Trailer tech,,"54,000.00",,,Texas,Houston,11-20 years,5-7 years,Some college,Man,Black or African American
25-34,Law,Legal Assistant,,"50,000.00",,,Washington,Seattle,2-4 years,2-4 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",SEO Manager,,"60,000.00",,,Indiana,Indianapolis,2-4 years,2-4 years,College degree,Man,White
25-34,Architecture,Architectural Designer,Entry level architecture staff,"56,000.00","2,000.00",,Nevada,Las Vegas,2-4 years,2-4 years,College degree,Woman,"Black or African American, White"
35-44,Fitness,Group Fitness Director,,"42,500.00",,,Maryland,Rockville,11-20 years,5-7 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Global Learning & Development Leader,,"155,000.00","20,000.00",,Illinois,Waterloo,11-20 years,5-7 years,College degree,Woman,White
25-34,Insurance,Business Analyst,I work in Finance Operations at a Health Insurance Company.,"74,000.00","6,000.00",,Massachusetts,Watertown,2-4 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Fundraising Copywriter,,"61,089.00","1,000.00",,California,San Diego,11-20 years,11-20 years,College degree,Woman,White
35-44,Law,Associate Attorney,Small firm,"60,000.00","2,000.00",,Kansas,Kansas,11-20 years,11-20 years,PhD,Woman,White
45-54,Computing or Tech,Senior Software Engineer,,"175,000.00","50,000.00",,Massachusetts,Cambridge,21-30 years,21-30 years,College degree,Man,"Asian or Asian American, White"
35-44,Health care,Certified Pharmacy Technician,,"44,948.00",,,Georgia,Duluth,11-20 years,11-20 years,College degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
45-54,Computing or Tech,"Executive Director, Application Support & Development",Manage software development team at a college,"110,000.00",0.00,,Iowa,Cedar Rapids,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Nonprofits,advancement coordinator,,"46,000.00","1,000.00",,District of Columbia,Washington,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Utilities & Telecommunications,Marketing Coordinator,,"50,000.00",,,Oregon,Portland Metro Area,11-20 years,8-10 years,College degree,Woman,White
25-34,Health care,Data Scientist,,"92,500.00",,,Wisconsin,Milwaukee,5-7 years,2-4 years,Master's degree,Woman,Asian or Asian American
25-34,Education (Higher Education),Librarian,,"52,275.00",0.00,,Florida,Tallahassee,8-10 years,8-10 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White"
25-34,Government and Public Administration,Analyst,,"61,500.00",,,California,Los Angeles,8-10 years,2-4 years,College degree,Woman,Asian or Asian American
25-34,Nonprofits,Office Manager,,"44,000.00",0.00,,New York,New York,8-10 years,1 year or less,College degree,Woman,White
35-44,Nonprofits,Director of Major Gifts,,"87,000.00","2,000.00",,Florida,Miami,11-20 years,8-10 years,College degree,Woman,White
45-54,Business or Consulting,Sr. Consultant,,"200,000.00",,Can fluctuate as I'm a consultant.,California,San Jose,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Computing or Tech,Process Specialist III,Database product owner,"89,000.00","1,500.00",,New Jersey,Princeton,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Development Director,,"165,000.00",0.00,,California,San Francisco,11-20 years,11-20 years,College degree,Woman,White
25-34,Retail,Hr manager,,"79,000.00","8,000.00",,Pennsylvania,Schenectady,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Aerospace Engineer,,"80,000.00",0.00,,Alabama,Huntsville,2-4 years,2-4 years,Master's degree,Man,White
25-34,Nonprofits,Senior Digital Marketing Manager,,"75,000.00",,,Massachusetts,Boston,11-20 years,8-10 years,Master's degree,Woman,White
18-24,Business or Consulting,Project Coordinator,,"79,000.00","20,000.00",,Texas,Austin,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Insurance,Communications Specialist I,,"59,955.00","5,000.00",,Florida,St. Petersburg,5-7 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,HR Specialist,Recruitment marketing/talent brand,"90,000.00",,,North Carolina,Raleigh,2-4 years,2-4 years,College degree,Woman,White
35-44,Medical Research,Biostatistician,,"66,000.00",,,Massachusetts,Boston,2-4 years,2-4 years,Master's degree,Non-binary,White
25-34,Computing or Tech,Software Developer,,"66,000.00",0.00,,Ohio,Cleveland,2-4 years,2-4 years,College degree,Woman,White
25-34,Education (Higher Education),Library Technical Assistant II,,"28,000.00",,,Alabama,Mobile,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer,,"205,000.00",,,California,San Francisco,8-10 years,8-10 years,College degree,Man,White
35-44,Computing or Tech,Senior Production Editor,,"77,000.00",,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Business Operations Manager,,"70,000.00",0.00,,Washington,Seattle,11-20 years,5-7 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Software engineer,,"139,000.00","9,000.00",,Washington,Seattle,11-20 years,11-20 years,College degree,Woman,White
35-44,Public Library,Library Director,,"57,000.00",0.00,,Indiana,Suburb Of Indianapolis,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Nonprofits,Program Supervisor,,"65,000.00",0.00,,New York,New York,8-10 years,5-7 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
45-54,Government and Public Administration,Program Technician,,"45,000.00","3,000.00",,California,Sacramento,11-20 years,11-20 years,College degree,Woman,White
25-34,Government and Public Administration,Senior Program Analyst,,"134,782.00",,,District of Columbia,Washington,11-20 years,11-20 years,College degree,Woman,White
35-44,"Marketing, Advertising & PR",Junior Copywriter,for Product and Visual Merchandising,"82,000.00",0.00,,New York,New York,11-20 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Law,Partner,,"300,000.00","100,000.00",,North Carolina,Charlotte,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education (Higher Education),Assistant Editor,Acquisitions at an academic press,"38,400.00",0.00,"$720 of my annual salary is ""longevity"" pay",Texas,Austin,8-10 years,8-10 years,College degree,Woman,White
35-44,Health care,Complex Care Manager,,"68,000.00",,,Massachusetts,Boston,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Government and Public Administration,Contractor - Government Services,,"78,624.00","4,500.00",,New York,New York,8-10 years,8-10 years,College degree,Man,White
25-34,"Accounting, Banking & Finance",Market Accounts Specialist,,"32,073.00",0.00,,Washington,Spokane,11-20 years,5-7 years,High School,Woman,White
25-34,Health care,Account Executive,Sales,"70,000.00","30,000.00",base + commission which can be anywhere between 12k-70k a year,New York,New York,5-7 years,2-4 years,College degree,Woman,"Black or African American, White"
25-34,Government and Public Administration,Health Inspector,Retail Food Safety Inspector,"40,000.00",0.00,,Florida,Tampa,5-7 years,5-7 years,College degree,Man,White
35-44,Property or Construction,Accounts Payable Clerk,,"43,680.00",0.00,,New York,Gardiner,11-20 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Nonprofits,Sales Operatins Manager,,"80,000.00","5,000.00",,Illinois,Downers Grove,5-7 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Finance and Business Analytics Manager,,"105,000.00","15,000.00",,California,Los Angeles,5-7 years,2-4 years,College degree,Man,White
25-34,Military,E6,Petty officer first class,"46,000.00",,,Mississippi,Biloxi,8-10 years,8-10 years,College degree,Woman,White
45-54,Media & Digital,Director UX Design,Web and app design management,"148,000.00","45,000.00",,North Carolina,Raleigh,21-30 years,11-20 years,Master's degree,Man,White
35-44,"Marketing, Advertising & PR",Content Marketing Manager,,"100,000.00",,,Massachusetts,Boston,11-20 years,8-10 years,Master's degree,Man,White
25-34,Education (Higher Education),Designer,,"46,125.00",0.00,,New York,New York,5-7 years,5-7 years,College degree,Woman,White
45-54,Engineering or Manufacturing,Human Resources Generalist,,"62,000.00","5,000.00",,Ohio,Cincinnati,11-20 years,11-20 years,College degree,Woman,White
18-24,Education (Primary/Secondary),Direct Support Professional,,"33,000.00",,,New York,New York,2-4 years,2-4 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
35-44,Social Work,Behavioral health therapist,,"79,040.00",,,Wisconsin,Waukesha,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Retail,Category manager,,"70,000.00","5,000.00",,Colorado,Boulder,11-20 years,11-20 years,High School,Man,White
45-54,Education (Primary/Secondary),Teacher,,"88,000.00",,For a 10 month (school year) contract,California,Folsom,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Law,Paralegal,,"52,000.00",,,New Jersey,Elizabeth,11-20 years,8-10 years,Some college,Woman,White
55-64,Education (Primary/Secondary),High school teacher,,"49,200.00",,,Tennessee,Winchester,31-40 years,21-30 years,College degree,Woman,White
35-44,Health care,Credentialing Coordinator,,"35,000.00",,,Pennsylvania,Pittsburgh,21-30 years,5-7 years,College degree,Woman,White
35-44,Food manufacturing,Procurement Manager,,"65,000.00","8,000.00",,New York,Utica,21-30 years,11-20 years,College degree,Woman,White
45-54,Education (Primary/Secondary),teacher,,"94,000.00",,,Connecticut,Stamford,21-30 years,21-30 years,PhD,Woman,White
25-34,Media & Digital,Marketing Manager,,"72,500.00","10,000.00",,Colorado,Fort Collins,8-10 years,8-10 years,College degree,Woman,White
25-34,Pharmaceuticals,Laboratory Analyst III,,"60,320.00","3,000.00",,Pennsylvania,Swiftwater,8-10 years,5-7 years,College degree,Woman,White
18-24,Social Work,Case manager,,"51,500.00","2,060.00",,Pennsylvania,Pittsburgh,5-7 years,5-7 years,College degree,Woman,White
25-34,Sales,Real Estate Agent Development Coach,Realty Coordinator,"33,280.00","44,720.00",,Missouri,Columbia,8-10 years,8-10 years,College degree,Woman,White
18-24,Business or Consulting,Research Analyst,Research consulting focused on telecom/internet industry,"55,000.00","2,400.00",,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Nonprofits,Senior Project Manager,,"79,500.00",0.00,,Pennsylvania,Phialdelphia,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Defense Contractor,Senior Engineering Logistics Specialist I,,"69,000.00",0.00,,Maine,Bath,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Health care,IT Business Intelligence Analyst,IT for a health care system,"103,000.00","3,000.00",,Florida,Miami,11-20 years,11-20 years,Master's degree,Man,White
35-44,Health care,Speech Therapist,,"100,000.00",0.00,,California,Salinas,11-20 years,11-20 years,Master's degree,Woman,White
55-64,Health care,Nurse,,"101,500.00",0.00,,Oregon,Portland,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Biotech/Drug Development,Nonclinical Manager,,"90,000.00","7,000.00",,Massachusetts,Cambridge,8-10 years,8-10 years,College degree,Woman,White
35-44,Law,Appellate Attorney,,"86,500.00",,,Maryland,DC,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Man,White
55-64,Computing or Tech,Senior Software Engineer,,"195,000.00",,,New York,New York,31-40 years,31-40 years,Master's degree,Man,White
35-44,Nonprofits,Assistant Director,,"55,000.00",,,New York,Kingston,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Law,Director of Delivery,eDiscovery service provider - one level below VP,"90,000.00","18,000.00",,District of Columbia,Washington,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,Front End Web Developer,,"70,000.00",,,New Mexico,Albuquerque,5-7 years,2-4 years,Master's degree,Woman,White
18-24,Computing or Tech,Full Stack Developer,,"56,400.00","5,000.00",,California,San Diego,2-4 years,2-4 years,College degree,Man,Asian or Asian American
45-54,Education (Higher Education),Sustainability Information Curator/Strategic Communications Coordinator,"I'm a degreed librarian (M.S) who is an embedded information professional with a campus research unit. I'm also our organization's liaison to our parent unit's communications team, which means I coordinate our social media, make sure our website content stays up-to-date, and write/compile content for our quarterly newsletter and annual report.","63,319.00",0.00,,Illinois,Champaign,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Law,Associate attorney,Litigation,"141,000.00","5,000.00",Pay is lock step and bonuses are based on performance.,Ohio,Columbus,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin"
18-24,Health care,Medical laboratory technician,,"56,000.00",,,Washington,Olympia,5-7 years,5-7 years,College degree,Woman,White
25-34,Law,Managing Attorney,,"82,000.00",0.00,Nonprofit law firm,California,Redding,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Recruitment or HR,HRIS Analyst,,"65,000.00",,,Illinois,Deerfield,5-7 years,2-4 years,College degree,Woman,Black or African American
25-34,Nonprofits,Education Coordinator,,"36,000.00",,,Washington,Olympic Peninsula,5-7 years,5-7 years,College degree,Woman,White
45-54,"Accounting, Banking & Finance",CEO/President,,"113,500.00",0.00,,Maine,Auburn,21-30 years,21-30 years,Master's degree,Woman,White
45-54,Manufacturing,Accounting Manager,,"78,500.00","5,000.00",,Ohio,Cincinnati,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education (Higher Education),Assistant Professor (Tenure-Track),,"44,800.00","3,000.00",Additional Compensation is not guaranteed / requires additional work responsibilities to earn bonus stipends each year,Oklahoma,Lawton,8-10 years,8-10 years,PhD,Non-binary,White
35-44,Computing or Tech,senior software engineer,,"180,000.00","170,000.00",,California,Sunnyvale,11-20 years,8-10 years,PhD,Man,White
25-34,Computing or Tech,Senior Principal Software Engineer,,"175,000.00","115,000.00",,Texas,Fort Worth,11-20 years,11-20 years,Master's degree,Man,White
