Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
41,14,0.5,0.88,8000,1,2,1,0
24,17,0.48,0.51,4300,1,2,2,0
41,17,0.48,0.52,15000,1,2,1,0
98,15,0.48,0.84,23000,1,2,1,0
24,17,0.48,0.54,8600,1,2,1,0
24,17,0.45,0.51,4000,1,2,2,0
10,11,0.45,0.95,24000,1,2,1,0
41,14,0.45,0.826,23000,1,2,1,0
10,12,0.45,0.99,14500,1,2,1,0
10,10,0.45,0.95,27000,1,2,1,0
24,16,0.45,0.54,14000,1,2,1,0
62,16,0.45,0.54,500,1,2,2,0
24,16,0.45,0.55,1000,1,2,1,0
41,14,0.42,0.81,42000,1,2,1,0
24,13,0.42,0.73,12000,1,2,1,0
24,15,0.4,0.54,14000,1,2,1,0
98,12,0.4,0.83,5500,1,2,1,0
24,15,0.4,0.55,6700,1,2,1,0
10,14,0.4,0.64,13700,1,2,1,0
67,17,0.4,0.51,1300,1,2,2,0
24,15,0.38,0.72,38600,1,2,1,0
24,11,0.38,0.787,75000,1,2,1,0
24,11,0.35,1.05,30000,1,2,1,0
24,16,0.35,0.57,24000,1,2,2,0
41,14,0.35,0.52,19000,1,2,2,0
24,10,0.31,1.05,213000,1,2,1,0
24,12,0.3,0.51,60000,1,2,1,0
24,16,0.3,0.48,50000,1,2,1,0
24,13,0.3,0.58,30000,1,2,1,0
10,13,0.27,0.47,21000,1,2,1,0
10,8,0.25,0.75,26000,1,2,1,1
41,8,0.25,0.58,1900,1,2,2,0
41,10,0.25,0.52,22000,1,2,2,0
24,13,0.25,0.51,32000,1,2,1,0
24,13,0.25,0.57,18000,1,2,1,0
24,5,0.2,0.57,55000,1,2,1,0
10,8,0.2,0.75,60000,1,2,1,0
10,12,0.2,0.57,25000,1,2,1,1
24,7,0.2,0.75,49000,1,2,1,1
24,13,0.2,0.65,24000,1,2,1,1
24,8,0.2,0.787,50000,1,2,1,0
10,15,0.18,0.32,35000,1,2,1,0
62,8,0.17,0.52,500000,1,2,2,0
24,10,0.16,0.51,33000,1,2,1,0
10,11,0.15,0.57,35000,1,2,1,1
24,7,0.12,0.58,53000,1,2,1,0
10,6,0.1,0.75,92233,1,2,1,0
24,10,3.25,6.79,58000,2,1,1,1
24,15,4.4,5.7,28200,1,1,1,0
24,11,2.95,4.6,53460,1,1,1,0
14,15,2.75,4.43,28282,1,1,1,0
24,16,5.25,5.7,3493,1,1,1,1
41,17,5.75,7.13,12479,1,1,1,0
24,15,5.15,5.7,34797,1,1,2,0
24,17,7.9,8.1,3435,1,1,1,0
24,15,4.85,5.7,21125,2,1,1,0
24,12,3.1,4.6,35775,1,1,1,0
14,15,11.75,14.79,43535,2,1,1,0
14,16,11.25,13.6,22671,1,1,1,0
24,11,2.9,6.79,31604,1,1,1,0
24,17,5.25,5.7,20114,1,1,1,0
41,12,4.5,9.4,36100,1,1,1,0
14,16,2.9,4.43,12500,1,1,1,0
14,16,3.15,4.43,15000,1,1,1,0
41,14,6.45,9.4,45078,1,1,1,0
41,12,4.5,9.4,36000,1,1,1,0
14,17,3.5,4.43,38488,1,1,1,0
24,13,4.5,6.79,32000,1,1,2,0
24,14,6,7.6,77632,2,1,1,0
41,15,8.25,9.4,61381,2,1,1,0
41,13,5.11,9.4,36198,1,1,2,0
24,11,2.7,4.6,22517,1,1,1,0
24,15,5.25,5.7,24678,1,1,1,0
24,11,2.55,4.43,57000,1,1,1,0
41,12,4.95,9.4,60000,2,1,1,0
24,12,3.1,6.79,52132,2,1,1,0
41,13,6.15,9.4,45000,2,1,1,0
41,17,9.25,9.4,15001,1,1,1,0
14,15,11.45,14.79,12900,1,1,2,0
24,13,3.9,5.7,53000,2,1,1,0
24,15,5.5,5.7,4492,1,1,1,0
41,17,9.1,9.4,15141,1,1,1,0
14,16,3.1,4.43,11849,1,1,1,0
14,15,11.25,13.6,68000,2,1,1,0
41,13,4.8,9.4,60241,1,1,1,0
14,12,2,4.43,23709,1,1,1,0
41,12,5.35,9.4,32322,2,1,1,0
41,15,4.75,7.13,35866,1,1,1,1
41,14,4.4,7.13,34000,1,1,1,0
24,16,6.25,7.6,7000,1,1,1,0
41,13,5.95,9.4,49000,2,1,1,0
41,12,5.2,9.4,71000,2,1,1,0
24,12,3.75,6.79,35000,1,1,1,0
41,15,5.95,9.4,36000,1,1,1,0
24,13,4,4.6,30000,1,1,1,0
24,16,5.25,7.6,17000,1,1,1,0
14,16,12.9,13.6,35934,2,1,1,0
14,13,5,9.9,56701,1,1,1,0
14,15,5.4,6.82,31427,1,1,2,0
14,14,7.2,9.9,48000,2,1,1,0
14,13,5.25,9.9,54242,1,1,1,0
14,12,3,5.35,53675,1,1,1,0
14,16,10.25,13.6,49562,1,1,1,0
14,15,8.5,13.6,40324,1,1,1,0
14,15,8.4,13.6,25000,1,1,1,0
10,14,3.9,7,36054,1,1,1,0
14,16,9.15,13.6,29223,1,1,1,0
14,16,5.5,5.97,5600,1,1,1,0
10,15,4,5.8,40023,1,1,1,0
24,16,6.6,7.7,16002,1,1,1,0
10,15,4,7,40026,1,1,1,0
24,17,6.5,8.7,21200,1,1,1,0
10,14,3.65,7,35000,1,1,1,0
14,16,8.35,9.4,19434,2,1,1,0
14,17,4.8,5.8,19000,1,1,1,0
14,15,6.7,10,18828,1,1,1,0
14,11,4.1,10,69341,1,1,1,0
14,9,3,10,69562,1,1,1,0
14,15,7.5,10,27600,1,1,1,0
24,10,2.25,7.5,61203,1,1,1,0
14,14,5.3,6.8,16500,1,1,1,0
14,16,10.9,13.6,30753,1,1,2,0
14,15,8.65,13.6,24800,1,1,1,0
14,15,9.7,13.6,21780,1,1,1,0
24,16,6,8.4,4000,1,1,1,0
14,14,6.25,13.6,40126,1,1,1,0
14,15,5.25,5.9,14465,1,1,1,0
14,6,2.1,7.6,50456,1,1,1,0
14,14,8.25,14,63000,2,1,1,0
14,16,8.99,11.8,9010,1,1,1,0
14,13,3.5,5.9,9800,1,1,1,0
24,16,7.4,8.5,15059,1,1,2,0
24,16,5.65,7.9,28569,1,1,1,0
10,15,5.75,7.5,44000,1,1,2,0
14,15,8.4,13.6,34000,1,1,1,0
14,16,10.11,13.6,10980,1,1,1,0
10,14,4.5,6.4,19000,1,1,1,0
14,15,5.4,6.1,31427,1,1,1,0
24,16,6.4,8.4,12000,1,1,1,0
14,10,3.25,9.9,38000,1,1,1,0
10,14,3.75,6.8,33019,1,1,1,0
14,15,8.55,13.09,60076,2,1,1,0
14,16,9.5,11.6,33988,2,1,1,0
14,15,4,5.9,60000,1,1,1,0
14,9,3.35,11,87934,1,1,1,0
14,17,11.5,12.5,9000,2,1,1,0
14,16,5.3,5.9,5464,1,1,1,0
